City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,hilo,19.7297,-155.09,84.27,87,52,1.99,US,06/30/23
1,nyurba,63.2842,118.3319,60.3,63,10,9.73,RU,06/30/23
2,ossora,59.2353,163.0719,57.99,77,14,6.67,RU,06/30/23
3,butaritari,3.0707,172.7902,82.54,78,81,14.23,KI,06/30/23
4,thompson,55.7435,-97.8558,86.16,30,75,9.22,CA,06/30/23
5,norman wells,65.282,-126.8329,77.04,47,40,0.0,CA,06/30/23
6,valle hermoso,25.6667,-97.8333,96.66,48,91,20.54,MX,06/30/23
7,bac lieu,9.285,105.7244,81.48,84,100,8.43,VN,06/30/23
8,albany,42.6001,-73.9662,85.17,51,98,1.01,US,06/30/23
9,kijang,35.2442,129.2139,73.13,95,100,6.76,KR,06/30/23
10,manono,-7.3,27.4167,75.42,30,35,3.98,CD,06/30/23
11,kieta,-6.2167,155.6333,79.16,85,40,7.31,PG,06/30/23
12,hermanus,-34.4187,19.2345,49.8,84,4,7.85,ZA,06/30/23
13,rikitea,-23.1203,-134.9692,72.19,62,71,21.41,PF,06/30/23
14,mataura,-46.1927,168.8643,34.48,96,97,6.06,NZ,06/30/23
15,vaini,-21.2,-175.2,78.96,69,20,9.22,TO,06/30/23
16,jega,12.2175,4.3792,87.51,52,44,10.0,NG,06/30/23
17,jamestown,42.097,-79.2353,82.04,54,75,6.91,US,06/30/23
18,lebu,-37.6167,-73.65,56.3,87,100,5.37,CL,06/30/23
19,castro,-24.7911,-50.0119,58.21,84,21,1.19,BR,06/30/23
20,srednekolymsk,67.45,153.6833,46.2,46,10,6.98,RU,06/30/23
21,port alfred,-33.5906,26.891,56.84,83,6,10.65,ZA,06/30/23
22,birao,10.2849,22.7882,79.66,68,95,10.98,CF,06/30/23
23,punta arenas,-53.15,-70.9167,37.51,81,75,8.05,CL,06/30/23
24,kahului,20.8947,-156.47,84.97,69,40,21.85,US,06/30/23
25,trinidad,-14.8333,-64.9,85.98,54,20,2.3,BO,06/30/23
26,vojka,44.9397,20.1539,71.85,68,0,4.61,RS,06/30/23
27,atuona,-9.8,-139.0333,78.87,79,26,17.56,PF,06/30/23
28,ushuaia,-54.8,-68.3,38.86,70,40,4.61,AR,06/30/23
29,bolu,40.6667,31.5833,54.39,80,0,3.51,TR,06/30/23
30,quatre cocos,-20.2078,57.7625,69.91,60,95,12.8,MU,06/30/23
31,bambous virieux,-20.3428,57.7575,70.05,64,40,11.5,MU,06/30/23
32,mildura,-34.2,142.15,52.48,70,100,8.01,AU,06/30/23
33,meulaboh,4.1363,96.1285,74.59,94,100,8.88,ID,06/30/23
34,pitsunda,43.1592,40.3378,64.58,71,82,4.63,GE,06/30/23
35,hobart,-42.8794,147.3294,48.06,88,75,9.22,AU,06/30/23
36,los llanos de aridane,28.6585,-17.9182,71.35,90,100,20.71,ES,06/30/23
37,kavieng,-2.5744,150.7967,80.6,81,98,11.92,PG,06/30/23
38,georgetown,5.4112,100.3354,79.02,92,40,10.36,MY,06/30/23
39,beringovskiy,63.05,179.3167,49.8,74,100,12.01,RU,06/30/23
40,barrow,71.2906,-156.7887,42.82,75,100,3.44,US,06/30/23
41,ribeira grande,38.5167,-28.7,70.2,83,75,12.66,PT,06/30/23
